"email","january","february","march","april","may","june","july","august","september","october","november","december"
"noah.kalafatis@aol.com",7200,7200,7200,9300,9300,9300,9300,9300,9300,9300,9300,9300
"csweigard@sweigard.com",8900,8900,9600,9600,9600,9600,9600,9600,9800,9800,9800,9800
"lavonda@cox.net",6800,6800,6800,6800,6800,6800,6800,6800,6800,6800,7400,7400
"junita@aol.com",9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"herminia@nicolozakes.org",9300,9300,9300,9300,9300,9300,9300,9800,9800,9800,9800,9800
"casie.good@aol.com",6200,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"reena@hotmail.com",9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
"mirta_mallett@gmail.com",8200,8200,9000,9000,9000,9000,9000,9000,9900,9900,9900,9900
"cathrine.pontoriero@pontoriero.com",7100,7100,7400,8900,8900,8900,8900,8900,8900,8900,8900,8900
"ftawil@hotmail.com",7900,7900,7900,7900,8800,8800,8800,9600,9600,9600,9600,9600
"rupthegrove@yahoo.com",8200,8200,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
"sarah.candlish@gmail.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9800,9800,9800
"lucy@cox.net",7800,7800,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"jaquas@aquas.com",8000,8000,8000,8000,8000,8000,8000,8000,9000,9000,9000,9000
"yvonne.tjepkema@hotmail.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"kayleigh.lace@yahoo.com",7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,8300
"felix_hirpara@cox.net",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"tresa_sweely@hotmail.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"kristeen@gmail.com",7700,7700,7700,7700,7700,7700,8000,8000,8000,8000,8000,8000
"jregusters@regusters.com",6600,6600,6600,7000,7000,7000,7000,7000,7000,7000,7000,7700
"renea@hotmail.com",7800,7800,7800,7800,9300,9300,9300,9300,9300,9300,9300,9300
"olive@aol.com",9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"lreiber@cox.net",7500,7500,7500,7500,7500,9400,9400,9400,9400,9400,9400,9400
"christiane.eschberger@yahoo.com",6800,6800,6800,6800,6800,9700,9700,9700,9700,9700,9700,9700
"goldie.schirpke@yahoo.com",8500,9000,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"loreta.timenez@hotmail.com",8200,8200,8200,8200,8200,8200,9000,9000,9000,9000,9000,9000
"fabiola.hauenstein@hauenstein.org",7300,7300,7300,8000,8000,8000,8000,8000,8000,8000,8000,8000
"amie.perigo@yahoo.com",8900,8900,8900,8900,8900,8900,8900,9300,9300,9300,9300,9300
"raina.brachle@brachle.org",7700,8100,8100,8100,8100,8100,8100,8100,8100,8900,8900,8900
"erinn.canlas@canlas.com",8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
"cherry@lietz.com",7600,7600,7600,7600,8700,8700,8700,8700,8700,8700,8700,8700
"kattie@vonasek.org",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"lilli@aol.com",6500,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
"whitley.tomasulo@aol.com",8700,8700,8700,8700,8700,8700,9300,9300,9300,9300,9300,9300
"badkin@hotmail.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"hermila_thyberg@hotmail.com",8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600
"jesusita.flister@hotmail.com",7700,7700,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"caitlin.julia@julia.org",7200,8700,8700,8700,8700,8700,8700,8700,9600,9600,9600,9600
"roosevelt.hoffis@aol.com",9000,9000,9000,9000,9000,9000,9900,9900,9900,9900,9900,9900
"hhalter@yahoo.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"lorean.martabano@hotmail.com",6100,6100,6100,9300,9300,9300,9300,9300,9300,9300,9300,9300
"france.buzick@yahoo.com",6800,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"jferrario@hotmail.com",8100,8100,8100,8100,8100,8100,8100,8900,8900,8900,8900,8900
"adelina_nabours@gmail.com",7000,7000,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400
"ddhamer@cox.net",8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
"jerry.dallen@yahoo.com",7100,7100,7500,7500,7500,8200,8200,8200,8200,8200,8200,8200
"leota.ragel@gmail.com",9100,9100,9100,9100,9200,9200,9200,9200,9200,9200,9200,9200
"jamyot@hotmail.com",7700,7700,7700,7700,8000,8000,9000,9000,9000,9000,9000,9000
"aja_gehrett@hotmail.com",7200,7600,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
"kirk.herritt@aol.com",9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"leonora@yahoo.com",8600,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,9600
"winfred_brucato@hotmail.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"tarra.nachor@cox.net",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"corinne@loder.org",7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800
"dulce_labreche@yahoo.com",7500,7500,7800,8100,8100,8100,8100,9600,9600,9600,9600,9600
"kate_keneipp@yahoo.com",8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
"kaitlyn.ogg@gmail.com",7100,7100,7100,7100,7100,7100,7100,8900,8900,8900,8900,8900
"sherita.saras@cox.net",6100,6100,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
"lstuer@cox.net",6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,7400
"ernest@cox.net",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"nobuko.halsey@yahoo.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"lavonna.wolny@hotmail.com",7500,7500,7500,7500,7500,7500,7500,7500,7500,8000,8000,8000
"llizama@cox.net",7300,7300,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"mariann.bilden@aol.com",8000,8000,8000,8000,8000,8000,8000,8000,9600,9600,9600,9600
"helene@aol.com",6200,6200,6200,6200,6200,6200,6200,8400,8400,8400,8400,8400
"roselle.estell@hotmail.com",9500,9500,9500,9900,9900,9900,9900,9900,9900,9900,9900,9900
"sheintzman@hotmail.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"margart_meisel@yahoo.com",7600,7600,9300,9300,9300,9300,9300,9300,9300,9300,9900,9900
"kristofer.bennick@yahoo.com",8500,9300,9300,9300,9300,9300,9300,9300,9600,9600,9600,9600
"wacuff@gmail.com",8100,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"shalon@cox.net",7500,7500,7500,7900,7900,7900,8800,8800,8800,8800,8800,8800
"denise@patak.org",8800,8800,8800,8800,8800,8800,9700,9700,9700,9700,9700,9700
"louvenia.beech@beech.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"audry.yaw@yaw.org",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"kristel.ehmann@aol.com",7900,7900,7900,7900,8100,9700,9700,9700,9700,9700,9700,9700
"vzepp@gmail.com",7100,7100,7100,7100,7100,7100,8600,8600,8600,8600,8600,8600
"egwalthney@yahoo.com",8400,8400,8400,8400,8400,8400,8400,8400,8900,8900,8900,8900
"venita_maillard@gmail.com",6100,6800,6800,7100,7800,7800,7800,7800,7800,7800,7800,7800
"kasandra_semidey@semidey.com",7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
"xdiscipio@gmail.com",8100,8100,8100,8800,8800,8800,9200,9200,9200,9200,9200,9200
"mlinahan@yahoo.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"krauser@cox.net",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"pdubaldi@hotmail.com",8300,8300,8300,8300,8300,8500,8500,8500,8500,8500,8600,8600
"linn_paa@paa.com",8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
"paris@hotmail.com",7200,7200,7200,7200,7200,7200,7200,7200,7200,8800,8800,8800
"wynell_dorshorst@dorshorst.org",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"qbirkner@aol.com",9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
"regenia.kannady@cox.net",8400,8400,8400,8400,8400,8900,8900,8900,9700,9700,9700,9700
"sheron@aol.com",7300,7300,7300,7300,7300,7300,7300,7300,7300,7400,8800,8800
"izetta.funnell@hotmail.com",6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900,6900
"rodolfo@hotmail.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"zona@hotmail.com",6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
"szagen@aol.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"paz_sahagun@cox.net",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"markus@yahoo.com",8700,8700,8700,8700,8700,8700,8800,8800,8800,8800,8800,8800
"jaclyn@aol.com",6800,6800,6800,6800,8800,8800,8800,8800,8800,8800,8800,8800
"cyril_daufeldt@daufeldt.com",9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000,9000
"gschnitzler@gmail.com",6800,6800,6800,6800,6800,8400,8800,9100,9100,9100,9100,9200
"erick_nievas@aol.com",7200,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"jennie@cox.net",9600,9600,9600,9600,9600,9600,9600,9600,9600,9700,9700,9700
"mscipione@scipione.com",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"cventura@yahoo.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"galen@yahoo.com",9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
"tfeichtner@yahoo.com",9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
"gail@kitty.com",7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7900,7900
"dalene@schoeneck.org",7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
"gertude.witten@gmail.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"lizbeth@yahoo.com",7800,7800,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"gberray@gmail.com",6700,6700,6700,6700,6700,6700,6700,9800,9800,9800,9800,9800
"lashandra@yahoo.com",9200,9200,9200,9200,9200,9200,9200,9200,9500,9500,9500,9500
"lnewville@newville.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"laurel@yahoo.com",7500,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"mireya.frerking@hotmail.com",9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"annelle@yahoo.com",8100,8400,8400,8400,8400,8400,8700,8700,8700,8700,8800,8800
"dean_ketelsen@gmail.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"levi.munis@gmail.com",7600,7600,8500,8500,8500,9100,9100,9100,9100,9100,9500,9500
"sylvie@aol.com",9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"sharee_maile@aol.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"cordelia_storment@aol.com",8100,8100,8100,9200,9200,9200,9200,9200,9200,9200,9200,9200
"mollie_mcdoniel@yahoo.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"brett.mccullan@mccullan.com",7200,7200,8000,8000,8000,8000,8000,8000,8200,8200,8200,8200
"teddy_pedrozo@aol.com",8800,8800,8800,8800,8800,8800,8800,8800,9900,9900,9900,9900
"tasia_andreason@yahoo.com",9000,9000,9000,9000,9000,9400,9400,9400,9400,9400,9400,9400
"hubert@walthall.org",8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800
"arthur.farrow@yahoo.com",9300,9300,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"vberlanga@berlanga.com",6300,6300,7500,7500,7500,7500,7500,7500,7500,7500,7500,7500
"billye_miro@cox.net",7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,8600
"glenna_slayton@cox.net",6800,6800,6800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"mitzie_hudnall@yahoo.com",6000,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"bernardine_rodefer@yahoo.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100
"staci_schmaltz@aol.com",8700,8700,8700,8700,9300,9300,9300,9300,9300,9400,9400,9400
"nichelle_meteer@meteer.com",6900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900,8900
"jrhoden@yahoo.com",8700,8700,8700,9400,9400,9400,9400,9400,9400,9400,9400,9600
"ettie.hoopengardner@hotmail.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"eden_jayson@yahoo.com",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"lynelle_auber@gmail.com",6000,6700,6700,6700,6700,6700,6700,8800,8800,8800,8800,8800
"merissa.tomblin@gmail.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"golda_kaniecki@yahoo.com",7600,7600,7600,9000,9000,9300,9300,9300,9300,9600,9600,9600
"catarina_gleich@hotmail.com",9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9100,9200
"vkiel@hotmail.com",9200,9200,9200,9200,9200,9200,9200,9200,9300,9500,9500,9900
"jolene@yahoo.com",7800,7800,7800,7800,7800,7800,7800,7800,7800,9400,9400,9400
"keneth@yahoo.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"rikki@nayar.com",8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8600,8600
"elke_sengbusch@yahoo.com",6400,6400,6400,6400,9100,9100,9100,9100,9100,9100,9100,9100
"hoa@sarao.org",8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
"trinidad_mcrae@yahoo.com",6800,6800,7500,9800,9800,9800,9800,9800,9800,9800,9800,9800
"mari_lueckenbach@yahoo.com",9100,9100,9100,9700,9700,9700,9700,9700,9700,9700,9700,9700
"selma.husser@cox.net",7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400
"aonofrio@onofrio.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"ljurney@hotmail.com",9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"clorinda.heimann@hotmail.com",7100,7100,7100,7100,7600,7600,7600,8700,8800,8800,8800,8800
"dick@yahoo.com",8500,8500,8500,8500,9000,9000,9000,9000,9000,9000,9000,9000
"ahmed.angalich@angalich.com",9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
"iluminada.ohms@yahoo.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"joanna_leinenbach@hotmail.com",7100,7100,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"caprice@aol.com",7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,9900,9900
"stephane_myricks@cox.net",7400,7600,7600,7600,8700,8700,8700,9300,9300,9300,9300,9300
"quentin_swayze@yahoo.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"annmarie_castros@gmail.com",9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900
"shonda_greenbush@cox.net",9400,9400,9400,9400,9400,9400,9400,9400,9400,9500,9500,9500
"clapage@lapage.com",7900,7900,7900,7900,7900,7900,9800,9800,9800,9800,9800,9800
"jeanice.claucherty@yahoo.com",7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600
"josphine_villanueva@villanueva.com",6100,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400,7400
"dperruzza@perruzza.com",6700,6700,6700,6700,6700,8500,8500,8500,8500,8500,8500,8500
"cassi.wildfong@aol.com",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"britt@galam.org",7800,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
"adell.lipkin@lipkin.com",6600,6600,6600,6600,9000,9000,9000,9000,9000,9000,9000,9000
"jacqueline.rowling@yahoo.com",7800,7800,7800,7800,7800,9600,9600,9600,9600,9600,9600,9600
"lonny_weglarz@gmail.com",8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800
"lonna_diestel@gmail.com",9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
"cristal@cox.net",8100,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
"kenneth.grenet@grenet.org",6100,6100,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"emclaird@mclaird.com",8100,8100,8100,8100,8100,8100,9600,9600,9600,9600,9600,9600
"ajeanty@gmail.com",6400,6400,6400,8900,8900,8900,8900,8900,8900,8900,8900,9900
"sharika.eanes@aol.com",7400,7400,7400,7400,7400,8100,8100,8100,8100,8100,8100,8100
"nu@gmail.com",9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"dcomnick@cox.net",9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
"cecilia_colaizzo@colaizzo.com",6900,7300,7300,7300,7300,7300,9800,9800,9800,9800,9800,9800
"leslie@cox.net",8000,8000,8000,8900,8900,8900,8900,8900,9000,9000,9000,9000
"nan@koppinger.com",6200,6200,6200,6200,6200,6200,6200,6200,6200,8700,8700,8700
"idewar@dewar.com",7000,7000,9300,9300,9300,9300,9300,9600,9600,9600,9600,9600
"tegan.arceo@arceo.org",8400,8900,8900,8900,9700,9700,9700,9700,9700,9700,9700,9700
"ruthann@hotmail.com",8200,8200,8200,8700,8700,8700,8700,8700,8700,8700,8700,9300
"joni_breland@cox.net",6500,8000,8000,8000,8000,8000,8000,8000,8000,9600,9600,9600
"vrentfro@cox.net",9800,9800,9800,9800,9800,9800,9800,9800,9900,9900,9900,9900
"colette.kardas@yahoo.com",9200,9200,9200,9700,9700,9700,9700,9700,9700,9700,9700,9700
"malcolm_tromblay@cox.net",7600,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
"ryan@cox.net",6400,7400,7400,7800,7800,9700,9700,9700,9700,9700,9700,9700
"jess.chaffins@chaffins.org",6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6800,9900
"sbourbon@yahoo.com",7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800
"nickolas_juvera@cox.net",8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600,8600
"gary_nunlee@nunlee.org",9200,9200,9200,9200,9200,9200,9200,9200,9200,9300,9300,9300
"diane@cox.net",7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600
"roslyn.chavous@chavous.org",9200,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500
"glory@yahoo.com",6000,9300,9700,9700,9700,9700,9800,9800,9800,9800,9800,9800
"rasheeda@aol.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"alpha@yahoo.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
"refugia.jacobos@jacobos.com",7500,7500,7500,7500,7500,7500,7500,7500,7500,7500,9300,9300
"shawnda.yori@yahoo.com",8500,8500,8700,8700,8700,9000,9000,9000,9000,9000,9000,9000
"mdelasancha@hotmail.com",9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"gilma_liukko@gmail.com",8300,8300,8300,8300,9400,9400,9400,9400,9400,9400,9400,9400
"jgabisi@hotmail.com",6400,6400,9800,9800,9800,9800,9800,9800,9800,9800,9800,9800
"lili.paskin@cox.net",7700,7700,7700,7700,7700,7700,8600,8600,8600,8600,8600,8600
"loren.asar@aol.com",8200,8200,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"dorothy@cox.net",7100,7100,7700,7700,7700,7700,7700,7700,9100,9500,9500,9500
"gail_similton@similton.com",8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700,8700
"catalina@hotmail.com",6000,6000,6200,6200,6200,9700,9700,9700,9700,9700,9700,9700
"lawrence.lorens@hotmail.com",7600,8200,8200,8200,8200,8400,8400,8400,8400,8400,9000,9000
"carlee.boulter@hotmail.com",7200,7200,7200,7200,7700,7700,7700,7700,7700,7700,7700,7700
"tankeny@ankeny.org",8500,8500,8500,8500,8600,8600,8600,8600,8600,8600,8600,8600
"joles@gmail.com",6400,6400,6400,6400,6400,6400,6400,6400,6700,8300,8300,8300
"alesia_hixenbaugh@hixenbaugh.org",6500,6500,6500,6500,6500,6500,6500,9900,9900,9900,9900,9900
"lai@gmail.com",7400,7400,7400,7400,7400,7400,7400,7400,7600,7600,8800,8800
"bgillaspie@gillaspie.com",8300,8300,8300,8300,8300,8300,8300,8300,8300,8700,8700,8700
"rkampa@kampa.org",8900,8900,8900,8900,8900,8900,9700,9700,9700,9700,9700,9700
"flo.bookamer@cox.net",7500,7500,7500,7500,8300,8400,8400,8400,8400,9800,9800,9800
"jbiddy@yahoo.com",9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"chauncey_motley@aol.com",9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700,9700
